0-496: pg mediated inhibition with nc[15][]=0
497-993: pg mediated inhibition with nc[15][]=1
994-1490: gc mediated inhibition 

pg mediated inhibition with nc[15][]=0 
run_ 105 /parameters.hoc:light1_peak_rate = 260
run_ 106 /parameters.hoc:breath_peak_rate = 300
run_ 106 /parameters.hoc:light1_peak_rate = 0
run_ 107 /parameters.hoc:breath_peak_rate = 300
run_ 107 /parameters.hoc:light1_peak_rate = 20
run_ 108 /parameters.hoc:breath_peak_rate = 300
run_ 108 /parameters.hoc:light1_peak_rate = 40
run_ 109 /parameters.hoc:breath_peak_rate = 300
run_ 109 /parameters.hoc:light1_peak_rate = 60
run_ 110 /parameters.hoc:breath_peak_rate = 300
run_ 110 /parameters.hoc:light1_peak_rate = 80
run_ 111 /parameters.hoc:breath_peak_rate = 300
run_ 111 /parameters.hoc:light1_peak_rate = 100
run_ 112 /parameters.hoc:breath_peak_rate = 300
run_ 112 /parameters.hoc:light1_peak_rate = 120
run_ 113 /parameters.hoc:breath_peak_rate = 300
run_ 113 /parameters.hoc:light1_peak_rate = 140
run_ 114 /parameters.hoc:breath_peak_rate = 300
run_ 114 /parameters.hoc:light1_peak_rate = 160
run_ 115 /parameters.hoc:breath_peak_rate = 300
run_ 115 /parameters.hoc:light1_peak_rate = 180
run_ 116 /parameters.hoc:breath_peak_rate = 300
run_ 116 /parameters.hoc:light1_peak_rate = 200
run_ 117 /parameters.hoc:breath_peak_rate = 300
run_ 117 /parameters.hoc:light1_peak_rate = 220
run_ 118 /parameters.hoc:breath_peak_rate = 300
run_ 118 /parameters.hoc:light1_peak_rate = 240
run_ 119 /parameters.hoc:breath_peak_rate = 300
run_ 119 /parameters.hoc:light1_peak_rate = 260
run_ 120 /parameters.hoc:breath_peak_rate = 300
run_ 120 /parameters.hoc:light1_peak_rate = 280
run_ 121 /parameters.hoc:breath_peak_rate = 320
run_ 121 /parameters.hoc:light1_peak_rate = 0
run_ 122 /parameters.hoc:breath_peak_rate = 320
run_ 122 /parameters.hoc:light1_peak_rate = 20
run_ 123 /parameters.hoc:breath_peak_rate = 320
run_ 123 /parameters.hoc:light1_peak_rate = 40
run_ 124 /parameters.hoc:breath_peak_rate = 320
run_ 124 /parameters.hoc:light1_peak_rate = 60
run_ 125 /parameters.hoc:breath_peak_rate = 320
run_ 125 /parameters.hoc:light1_peak_rate = 80
run_ 126 /parameters.hoc:breath_peak_rate = 320
run_ 126 /parameters.hoc:light1_peak_rate = 100
run_ 127 /parameters.hoc:breath_peak_rate = 320
run_ 127 /parameters.hoc:light1_peak_rate = 120
run_ 128 /parameters.hoc:breath_peak_rate = 320
